λ,T,Optical Density
1630,3.14645e-06,5.50218
1629,2.7341399999999996e-06,5.56318
1628,3.23198e-06,5.49053
1627,2.21714e-06,5.65421
1626,2.33734e-06,5.63128
1625,2.8727400000000003e-06,5.5417
1624,2.76307e-06,5.55861
1623,2.2119100000000002e-06,5.65523
1622,2.36206e-06,5.62671
1621,3.4445e-06,5.46287
1620,3.2139899999999998e-06,5.49296
1619,2.58129e-06,5.58816
1618,2.93918e-06,5.53177
1617,2.2865799999999997e-06,5.64081
1616,2.43899e-06,5.61279
1615,3.17788e-06,5.49786
1614,3.2481e-06,5.48837
1613,2.00583e-06,5.6977
1612,2.74224e-06,5.56189
1611,2.02385e-06,5.69382
1610,3.16249e-06,5.49997
1609,2.86232e-06,5.54328
1608,2.06987e-06,5.68406
1607,2.7663200000000002e-06,5.5581
1606,2.5933800000000003e-06,5.58613
1605,3.2011700000000004e-06,5.49469
1604,1.6278700000000001e-06,5.78838
1603,2.35744e-06,5.62756
1602,2.04345e-06,5.68964
1601,3.53873e-06,5.45115
1600,2.71502e-06,5.56623
1599,3.57276e-06,5.447
1598,3.21063e-06,5.49341
1597,2.64274e-06,5.57795
1596,2.87859e-06,5.54082
1595,2.3265499999999998e-06,5.63329
1594,2.34663e-06,5.62955
1593,2.96749e-06,5.52761
1592,1.86887e-06,5.72842
1591,2.9281799999999996e-06,5.5334
1590,2.6556000000000005e-06,5.57584
1589,2.13671e-06,5.67025
1588,2.5701e-06,5.59005
1587,2.4355599999999998e-06,5.6134
1586,3.45552e-06,5.46149
1585,2.77462e-06,5.5568
1584,3.2604500000000003e-06,5.48672
1583,1.1261599999999999e-06,5.9484
1582,2.3415999999999997e-06,5.63049
1581,1.7106799999999999e-06,5.76683
1580,2.0592e-06,5.6863
1579,2.32452e-06,5.63367
1578,3.0771800000000002e-06,5.51185
1577,3.1560399999999998e-06,5.50086
1576,2.99189e-06,5.52405
1575,1.45921e-06,5.83588
1574,1.9459600000000003e-06,5.71087
1573,2.99217e-06,5.52401
1572,2.7269e-06,5.56433
1571,2.52557e-06,5.59764
1570,2.5081700000000004e-06,5.60064
1569,2.3148e-06,5.63549
